labels,credentials,p_type,no_serv,no_bene,no_dis_bene,ave_Me_pay,ave_Sub,place of service,gender,drug
1,MD,Internal Medicine,59,57,59,137.31,625,F,M,N
1,MD,Internal Medicine,114,110,114,206.06157895,923.99122807,F,M,N
1,MD,Pathology,438,289,294,29.240251142,88,F,M,N
1,MD,Pathology,24,17,18,27.02,179,F,M,N
1,MD,Anesthesiology,22,14,22,113.55909091,202.27272727,F,M,N
1,MD,Anesthesiology,57,11,21,61.062982456,99.368421053,F,M,N
0,MD,Anesthesiology,330,140,330,104.53,159,O,M,N
1,DO,Family Practice,34,34,34,185.02,213.67647059,F,M,N
1,DO,Family Practice,39,37,39,136.44,166.92307692,F,M,N
2,MD,Obstetrics & Gynecology,21,16,21,70.93,90,O,F,N
0,MD,Family Practice,50,50,50,49.03,147.08,O,M,Y
0,MD,Family Practice,497,265,497,107.69,322,O,M,N
0,MD,Family Practice,28,28,28,116.27,349,O,M,N
2,DO,Internal Medicine,602,282,602,115.24,175,O,F,N
2,DO,Internal Medicine,42,42,42,124.94,158,O,F,N
0,MD,Urology,137,131,137,154.16532847,422,O,M,N
1,MD,Urology,24,23,24,402.96125,904,F,M,N
0,MD,Urology,320,237,320,69.36,150,O,M,N
1,MD,Anesthesiology,18,18,18,304.29777778,1278,F,M,N
3,PA,Physician Assistant,25,25,25,154.7456,832.72,F,F,N
2,MD,Family Practice,30,30,30,49.03,73,O,F,Y
2,MD,Family Practice,21,21,21,98.002380952,156,O,F,Y
0,MD,Internal Medicine,542,275,542,102.91,145,O,M,N
0,MD,Dermatology,185,37,52,6.2706486486,18.810810811,O,M,N
2,Other,Other,93,30,93,93.59,136.17204301,O,F,N
0,Organization,Mass Immunizer Roster Biller,189,188,189,48.82968254,50,O,O,Y
0,MD,Radiation Oncology,60,50,60,253.36,642,O,M,N
0,MD,Radiation Oncology,249,68,249,72.82,375,O,M,N
0,MD,Radiation Oncology,142,40,142,10.03,90,O,M,N
1,MD,Other,27,27,27,141.21,397,F,M,N
2,DO,Orthopedic Surgery,59,53,56,26.080508475,48.24779661,O,F,N
2,MD,Family Practice,25,25,25,24.28,30,O,F,N
2,MD,Family Practice,15,15,15,37.4,120,O,F,N
1,MD,Urology,15,12,15,18.85,205,F,M,N
0,MD,Urology,438,278,438,116.5,440,O,M,N
1,MD,Diagnostic Radiology,115,110,115,15.81,19.8,F,M,N
1,MD,Diagnostic Radiology,46,45,45,29.342173913,33.413043478,F,M,N
2,MD,Rheumatology,72,36,72,80.37,550,O,F,N
3,MD,Internal Medicine,19,19,19,207.06,613,F,F,N
2,MD,Obstetrics & Gynecology,18,18,18,113.94,196.33333333,O,F,N
2,MD,Obstetrics & Gynecology,244,185,243,3.5,15,O,F,N
2,MD,Obstetrics & Gynecology,68,68,68,209.92,363,O,F,N
2,MD,Obstetrics & Gynecology,132,115,132,109.14,189,O,F,N
2,Other,Physician Assistant,19,19,19,89.22,345,O,F,N
1,Organization,Diagnostic Radiology,25,25,25,101.24,252,F,M,N
1,Organization,Diagnostic Radiology,32,31,32,23.29,58,F,M,N
1,Organization,Diagnostic Radiology,31,31,31,28.22,69,F,M,N
1,Organization,Diagnostic Radiology,28,27,28,37.649642857,100,F,M,N
0,MD,Diagnostic Radiology,11,11,11,347.34272727,1414,O,M,N
0,MD,Diagnostic Radiology,14,14,14,308.70285714,1400,O,M,N
0,MD,Diagnostic Radiology,49,47,49,217.11795918,956,O,M,N
0,MD,Diagnostic Radiology,17,17,17,192.14,850,O,M,N
0,MD,Diagnostic Radiology,71,57,61,36.01,130,O,M,N
0,MD,Diagnostic Radiology,14,14,14,338.63,1350,O,M,N
0,MD,Orthopedic Surgery,46,43,46,109.75,190.79804348,O,M,N
0,Organization,Physical Therapist in Private Practice,48,42,48,77.910208333,120,O,M,N
3,MD,Neurology,17,17,17,67.26,684.52941176,F,F,N
2,Other,Physical Therapist in Private Practice,1853,135,958,27.738305451,60,O,F,N
2,Other,Physical Therapist in Private Practice,64,60,64,90.806875,125,O,F,N
2,Other,Physical Therapist in Private Practice,12,11,12,90.576666667,125,O,F,N
2,MD,Dermatology,34,34,34,81.73,209.58823529,O,F,N
2,MD,Dermatology,125,94,125,79.64,195,O,F,N
0,Other,Physical Therapist in Private Practice,64,44,64,77.675625,80.9375,O,M,N
0,MD,Nephrology,17,11,17,183.63941176,373.82,O,M,N
1,MD,Nephrology,1013,233,1013,73.177423495,146.70377098,F,M,N
2,MD,Family Practice,64,27,64,3.08,10,O,F,N
1,MD,Emergency Medicine,94,87,89,8.39,58.978723404,F,M,N
3,PA,Physician Assistant,14,14,14,35.61,150,F,F,N
2,DO,Internal Medicine,14,14,14,104.66,208,O,F,N
3,DO,Internal Medicine,105,35,105,71.17,141,F,F,N
3,DO,Internal Medicine,26,14,26,102.85,202,F,F,N
2,PA,Physician Assistant,36,34,36,66.01,141.33333333,O,F,N
2,ARNP,Nurse Practitioner,25,25,25,98.7748,281,O,F,N
2,MD,Pulmonary Disease,22,21,22,60.313636364,120.39181818,O,F,N
2,MD,Pulmonary Disease,36,36,36,211.19,420.48,O,F,N
3,Other,Nurse Practitioner,1089,355,1089,57.71,80,F,F,N
0,MD,Otolaryngology,148,110,148,125.17540541,301,O,M,N
1,MD,Pathology,20,19,20,37.01,100,F,M,N
1,MD,Pathology,51,47,49,36.38,163,F,M,N
2,Other,Other,146,14,146,131.17,160,O,F,N
2,MD,Internal Medicine,69,42,69,136.72,169.85434783,O,F,N
0,MD,Cardiology,43,42,43,74.917674419,235,O,M,N
0,MD,Cardiology,18,16,18,202.16,606,O,M,N
0,MD,Cardiology,40,40,40,359.721,360.84,O,M,N
1,MD,Emergency Medicine,16,15,16,66.170625,260,F,M,N
0,Organization,Other,491,462,487,231.98818737,868.62389002,F,O,N
3,MD,Neurology,51,43,51,210.66,419,F,F,N
0,MD,Family Practice,44,44,44,24.05,30,O,M,Y
0,MD,Family Practice,208,73,125,25,25,O,M,N
0,MD,Family Practice,29,29,29,165.7,240,O,M,N
0,MD,Family Practice,102,102,102,25,25,O,M,N
3,MD,Internal Medicine,34,34,34,151.84,278,F,F,N
3,MD,Internal Medicine,63,63,63,153.15,283.93650794,F,F,N
3,MD,Internal Medicine,30,30,30,81.63,151,F,F,N
0,MD,Other,230,230,230,152.7,190,O,M,N
2,ARNP,Nurse Practitioner,13,13,13,19.03,55,O,F,Y
2,ARNP,Nurse Practitioner,31,31,31,23.75,44,O,F,N
3,MD,Diagnostic Radiology,27,27,27,11.39,40,F,F,N
3,MD,Diagnostic Radiology,25,25,25,88.53,307,F,F,N
3,MD,Diagnostic Radiology,122,122,122,49.07,158.13934426,F,F,N
0,MD,Family Practice,20,20,20,49.17,99.75,O,M,N
0,MD,Family Practice,170,170,170,18.09,25,O,M,N
1,MD,Cardiology,134,134,134,23.71,90,F,M,N
0,MD,Cardiology,35,35,35,175.26571429,708.42857143,O,M,N
1,MD,Cardiology,55,40,55,112.66,220,F,M,N
1,MD,Cardiology,29,29,29,22.07,55,F,M,N
1,MD,Cardiology,15,14,15,25.6,199.66666667,F,M,N
0,MD,Cardiology,21,21,21,41.06,98,O,M,N
0,MD,Cardiology,61,50,50,75.42557377,87.213114754,O,M,N
3,MD,Anesthesiology,21,20,21,377.53047619,377.53047619,F,F,N
